case_id,cascade_strict_tp,cascade_n_pipeline,cascade_n_silver,cascade_n_matched,sonnet_strict_tp,sonnet_n_pipeline,sonnet_n_silver,sonnet_n_matched
PMC6635746_HIS-73-68|30600,9.5,13,16,13,9.5,13,16,13
PMC6635746_HIS-73-68|30601,7.0,7,7,7,7.0,7,7,7
PMC6635746_HIS-73-68|30603,6.0,7,11,7,6.0,7,11,7
PMC6635746_HIS-73-68|30604,10.0,10,11,10,10.0,10,11,10
PMC6635746_HIS-73-68|30605,3.5,4,6,4,4.0,6,6,6
PMC6635746_HIS-73-68|30609,5.5,6,6,6,5.5,6,6,6
PMC6635746_HIS-73-68|30610,3.0,6,4,4,3.0,6,4,4
PMC6635746_HIS-73-68|30611,4.5,8,8,6,4.5,8,8,6
PMC6850320_HIS-74-917|13758,0.0,0,0,0,0.0,0,0,0
PMC6850320_HIS-74-917|13759,10.0,15,11,11,10.0,15,11,11
PMC6850320_HIS-74-917|13760,3.0,5,4,4,3.0,4,4,4
PMC6850320_HIS-74-917|13761,5.0,6,7,6,5.0,6,7,6
PMC6850320_HIS-74-917|13763,5.0,6,5,5,5.0,6,5,5
PMC6850320_HIS-74-917|13764,0.0,0,3,0,0.0,0,3,0
PMC6850320_HIS-74-917|13765,0.0,0,0,0,0.0,0,0,0
PMC6850320_HIS-74-917|13769,0.0,0,0,0,0.0,0,0,0
PMC6850320_HIS-74-917|13770,2.5,5,6,5,2.5,5,6,5
PMC6850320_HIS-74-917|13773,3.0,5,4,4,3.0,5,4,4
PMC6850320_HIS-74-917|13775,8.0,8,8,8,8.0,8,8,8
PMC6850320_HIS-74-917|13776,1.0,2,2,2,1.0,2,2,2
PMC6850320_HIS-74-917|13777,1.0,2,2,2,1.0,2,2,2
PMC6850320_HIS-74-917|13778,3.5,6,4,4,3.5,6,4,4
PMC6850320_HIS-74-917|13780,0.0,1,0,0,0.0,1,0,0
PMC6850320_HIS-74-917|13781,4.5,7,14,7,4.5,7,14,7
PMC6850320_HIS-74-917|13782,10.0,14,14,14,10.0,14,14,14
PMC6850320_HIS-74-917|13783,7.0,7,8,7,7.0,7,8,7
PMC6850320_HIS-74-917|13784,3.0,5,4,4,3.0,5,4,4
PMC6850320_HIS-74-917|13785,1.0,2,2,2,1.0,2,2,2
PMC6850320_HIS-74-917|13788,4.5,6,5,5,4.5,6,5,5
PMC6850320_HIS-74-917|13789,3.5,4,4,4,3.5,4,4,4
PMC6850320_HIS-74-917|13790,3.5,4,4,4,3.5,4,4,4
PMC6850320_HIS-74-917|13791,6.5,10,11,9,6.5,10,11,9
PMC6850320_HIS-74-917|13792,2.0,5,3,3,2.0,5,3,3
PMC6850320_HIS-74-917|13793,7.0,13,11,11,7.0,13,11,11
PMC6850320_HIS-74-917|13794,1.0,1,1,1,1.0,1,1,1
PMC7539961_HIS-77-579|17222,0.0,0,0,0,0.0,0,0,0
PMC7539961_HIS-77-579|17225,1.5,2,2,2,1.5,2,2,2
PMC7539961_HIS-77-579|17227,2.0,5,3,3,2.0,5,3,3
PMC7539961_HIS-77-579|17231,5.0,6,7,6,5.0,6,7,6
PMC7539961_HIS-77-579|17232,3.5,5,4,4,3.5,5,4,4
PMC7539961_HIS-77-579|17233,3.0,3,3,3,3.0,3,3,3
PMC7539961_HIS-77-579|17234,5.5,8,9,8,5.5,8,9,8
PMC7539961_HIS-77-579|17237,9.0,11,11,10,9.0,11,11,10
PMC7539961_HIS-77-579|17238,4.0,6,5,5,4.0,6,5,5
PMC7539961_HIS-77-579|17240,0.0,4,0,0,0.0,4,0,0
PMC7539961_HIS-77-579|17241,5.0,5,5,5,5.0,5,5,5
PMC7539961_HIS-77-579|17247,2.0,3,7,3,2.0,3,7,3
PMC7539961_HIS-77-579|17248,0.0,0,0,0,0.0,0,0,0
PMC7539961_HIS-77-579|17250,3.5,5,4,4,3.5,5,4,4
PMC7539961_HIS-77-579|17251,4.0,5,9,5,4.0,5,9,5
PMC7539961_HIS-77-579|17252,11.0,12,13,12,11.0,12,13,12
PMC7539961_HIS-77-579|17254,4.0,5,5,5,4.0,5,5,5
PMC7539961_HIS-77-579|17255,3.0,6,5,5,3.0,6,5,5
PMC7539961_HIS-77-579|17256,2.0,5,3,3,2.0,5,3,3
PMC7539961_HIS-77-579|17257,2.5,3,4,3,2.5,3,4,3
PMC7540531_HIS-77-460|22037,0.0,0,0,0,0.0,0,0,0
PMC7540531_HIS-77-460|22040,1.5,4,2,2,1.5,4,2,2
PMC7540531_HIS-77-460|22041,5.0,8,8,8,5.0,8,8,8
PMC7540531_HIS-77-460|22044,9.0,11,11,10,9.0,11,11,10
PMC7540531_HIS-77-460|22045,8.0,12,8,8,8.0,12,8,8
PMC7540531_HIS-77-460|22047,4.0,5,4,4,4.0,5,4,4
PMC7540531_HIS-77-460|22048,0.0,6,0,0,0.0,6,0,0
PMC7540531_HIS-77-460|22050,2.0,3,4,3,2.0,3,4,3
PMC7540531_HIS-77-460|22052,0.0,0,0,0,0.0,0,0,0
PMC7540531_HIS-77-460|22053,3.5,6,5,4,3.5,6,5,4
PMC7540531_HIS-77-460|22054,6.0,9,11,9,8.0,11,11,11
PMC7540531_HIS-77-460|22056,2.5,3,4,3,2.5,3,4,3
PMC7540531_HIS-77-460|22059,3.0,5,4,4,3.0,5,4,4
PMC7540531_HIS-77-460|22061,1.5,3,2,2,1.5,3,2,2
PMC7540531_HIS-77-460|22062,2.5,4,4,4,2.5,4,4,4
PMC7540531_HIS-77-460|22064,1.5,3,3,3,1.5,3,3,3
PMC7540531_HIS-77-460|22066,1.5,3,3,3,1.5,3,3,3
PMC7540531_HIS-77-460|22069,3.0,6,3,3,3.0,6,3,3
PMC7540531_HIS-77-460|22070,3.0,5,4,4,3.0,5,4,4
PMC7540531_HIS-77-460|22072,6.0,7,7,7,6.0,7,7,7
PMC7540531_HIS-77-460|22074,4.0,5,5,4,4.0,5,5,4
PMC7540531_HIS-77-460|22075,2.5,5,4,4,2.5,5,4,4
PMC7540531_HIS-77-460|22076,2.0,3,3,3,2.0,3,3,3
PMC7540531_HIS-77-460|22077,3.5,4,4,4,3.5,4,4,4
PMC9826086_HIS-81-786|25747,1.0,1,2,1,2.0,3,2,2
PMC9826086_HIS-81-786|25748,2.5,5,5,5,2.5,5,5,5
PMC9826086_HIS-81-786|25749,8.0,8,8,8,8.0,8,8,8
PMC9826086_HIS-81-786|25751,3.0,4,4,4,3.0,4,4,4
PMC9826086_HIS-81-786|25753,8.0,8,10,8,8.0,8,10,8
PMC9826086_HIS-81-786|25755,3.0,4,4,3,3.0,4,4,3
PMC9826086_HIS-81-786|25756,6.5,9,9,8,6.5,9,9,8
PMC9826086_HIS-81-786|25759,2.5,3,8,3,2.5,3,8,3
PMC9826086_HIS-81-786|25760,3.0,5,6,5,3.0,5,6,5
PMC9826086_HIS-81-786|25762,2.0,2,2,2,2.0,2,2,2
PMC9826086_HIS-81-786|25763,4.0,5,7,5,4.0,5,7,5
PMC9826086_HIS-81-786|25764,0.0,0,0,0,0.0,0,0,0
PMC9826086_HIS-81-786|25765,1.0,3,2,2,1.0,3,2,2
PMC9826086_HIS-81-786|25766,1.0,2,3,2,1.0,2,3,2
PMC9826086_HIS-81-786|25767,0.0,0,0,0,0.0,0,0,0
PMC9826086_HIS-81-786|25768,1.5,3,3,3,1.5,3,3,3
PMC9826086_HIS-81-786|25769,3.0,5,6,5,3.0,5,6,5
PMC9826086_HIS-81-786|25772,2.0,3,2,2,2.0,3,2,2
PMC9826086_HIS-81-786|25773,3.5,5,6,5,3.5,5,6,5
PMC9826086_HIS-81-786|25774,7.5,12,12,12,7.5,12,12,12
PMC9826086_HIS-81-786|25775,3.0,4,3,3,3.0,4,3,3
PMC9826086_HIS-81-786|25777,2.0,4,4,4,3.0,4,4,4
PMC9826086_HIS-81-786|25778,2.5,4,3,3,2.5,4,3,3
PMC9826086_HIS-81-786|25781,9.0,12,12,12,9.0,12,12,12
PMC9826086_HIS-81-786|25785,6.0,10,10,10,6.0,10,10,10
PMC9826086_HIS-81-786|25786,8.5,12,14,12,8.5,12,14,12
PMC9826086_HIS-81-786|25787,2.0,3,3,3,2.0,3,3,3
PMC9826086_HIS-81-786|25788,6.5,8,8,8,6.5,8,8,8
PMC9826086_HIS-81-786|25790,3.5,5,4,4,3.5,5,4,4
