case_id,cascade_strict_tp,cascade_n_pipeline,cascade_n_silver,cascade_n_matched,sonnet_strict_tp,sonnet_n_pipeline,sonnet_n_silver,sonnet_n_matched
PMC8395933_dermatopathology-08-00035|27504,5.0,6,8,6,5.0,6,8,6
PMC8395933_dermatopathology-08-00035|27506,12.5,20,16,16,12.5,20,16,16
PMC8395933_dermatopathology-08-00035|27507,8.0,11,9,9,8.0,11,9,9
PMC8395933_dermatopathology-08-00035|27511,36.5,46,42,42,36.5,46,42,42
PMC8395933_dermatopathology-08-00035|27512,11.5,13,13,12,11.5,13,13,12
PMC8395933_dermatopathology-08-00035|27513,5.5,8,7,7,5.5,8,7,7
PMC8395933_dermatopathology-08-00035|27514,1.0,2,3,2,1.0,2,3,2
PMC8395933_dermatopathology-08-00035|27515,3.5,4,5,4,3.5,4,5,4
PMC8395933_dermatopathology-08-00035|27516,9.0,16,10,10,9.0,16,10,10
PMC8395933_dermatopathology-08-00035|27519,22.0,26,26,25,22.0,26,26,25
PMC8395933_dermatopathology-08-00035|27520,10.5,14,13,12,10.5,14,13,12
PMC8395933_dermatopathology-08-00035|27522,2.5,3,4,3,2.5,3,4,3
PMC8395948_dermatopathology-08-00038|27265,3.0,4,4,4,3.0,4,4,4
PMC8395948_dermatopathology-08-00038|27266,1.5,2,3,2,1.5,2,3,2
PMC8395948_dermatopathology-08-00038|27268,9.5,11,10,10,9.5,11,10,10
PMC8395948_dermatopathology-08-00038|27269,1.0,3,2,2,1.0,3,2,2
PMC9796535_CYT-33-754|32095,0.0,0,0,0,0.0,0,0,0
PMC9796535_CYT-33-754|32113,2.0,3,2,2,2.0,3,2,2
